# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 3.193827769223901214e+03 2.600000000000000000e+01
6.013017737617095543e-02 2.044197976524009846e+03 7.200000000000000000e+01
8.418151618618714693e-02 1.343327855587318027e+03 1.520000000000000000e+02
1.087367500886957938e-01 8.705314828117170691e+02 2.340000000000000000e+02
1.343722219507281490e-01 7.178277671357850522e+02 4.160000000000000000e+02
1.587124844392140688e-01 5.086629917163366486e+02 4.800000000000000000e+02
1.829253236177555419e-01 4.016837461037633830e+02 7.220000000000000000e+02
2.074764920249410893e-01 3.246608651536811863e+02 8.740000000000000000e+02
2.323188502694161217e-01 2.751029766953134299e+02 1.162000000000000000e+03
2.568837897152542737e-01 2.246709913360463986e+02 1.358000000000000000e+03
2.811677721420339782e-01 1.978368074223969302e+02 1.632000000000000000e+03
3.062790434346451818e-01 1.614986394936588852e+02 2.036000000000000000e+03
3.313311990205343727e-01 1.490506536630906282e+02 2.310000000000000000e+03
3.554505676832757644e-01 1.231051171571092908e+02 2.528000000000000000e+03
3.797409759428852505e-01 1.113109065749055162e+02 3.068000000000000000e+03
4.042043237165472980e-01 9.965515198422832555e+01 3.306000000000000000e+03
4.287673421450296507e-01 8.847598864520783479e+01 3.934000000000000000e+03
4.534562801006977173e-01 7.736437986300778391e+01 4.266000000000000000e+03
4.780738444491431371e-01 7.237938385858809909e+01 4.794000000000000000e+03
5.026630068413446839e-01 6.526825566416162872e+01 5.270000000000000000e+03
5.271487706313333632e-01 5.911277732728437684e+01 5.754000000000000000e+03
5.515550784249925176e-01 5.507625663782133785e+01 6.344000000000000000e+03
5.762450688919315001e-01 5.166994714490271434e+01 7.014000000000000000e+03
6.007380805735611506e-01 4.678993359203504809e+01 7.364000000000000000e+03
6.253672373831143938e-01 4.333186744582954475e+01 8.402000000000000000e+03
6.501755823830386305e-01 3.994676486790075387e+01 8.738000000000000000e+03
6.747760941225345865e-01 3.822089587794948784e+01 9.670000000000000000e+03
6.991949513373587610e-01 3.530121394082696895e+01 9.880000000000000000e+03
7.236228637511089579e-01 3.353422701621551738e+01 1.113000000000000000e+04
7.480317977018523523e-01 3.079476164435038399e+01 1.140000000000000000e+04
7.726576112572679511e-01 2.912253585285985835e+01 1.272200000000000000e+04
7.973030407408827624e-01 2.790797815584656405e+01 1.317000000000000000e+04
8.219050394031606199e-01 2.591687004099143721e+01 1.418600000000000000e+04
8.465029529859586788e-01 2.453409522932185283e+01 1.495800000000000000e+04
8.710314617807571880e-01 2.326429945368231600e+01 1.580200000000000000e+04
8.955964540390221051e-01 2.161991695904123389e+01 1.674600000000000000e+04
9.200327912485964932e-01 2.089046238742915307e+01 1.753400000000000000e+04
9.445818830773816677e-01 1.944249194512430989e+01 1.869000000000000000e+04
9.691428403852909712e-01 1.901495144618315436e+01 1.958600000000000000e+04
9.936398339652569023e-01 1.828936635441161584e+01 2.052400000000000000e+04
1.018176782820507942e+00 1.726179062838283329e+01 2.165200000000000000e+04
1.042766853365621582e+00 1.681166607275642022e+01 2.276000000000000000e+04
1.067432079366278153e+00 1.621599308968605158e+01 2.389200000000000000e+04
1.092007825972616253e+00 1.504081758079360398e+01 2.485400000000000000e+04
1.116555949281071269e+00 1.453398393198873251e+01 2.604000000000000000e+04
1.140969998657552109e+00 1.393993899453668917e+01 2.680400000000000000e+04
1.165412799157594437e+00 1.362141102242152968e+01 2.850000000000000000e+04
1.190057268598827767e+00 1.281546756028963507e+01 2.956400000000000000e+04
1.214617866389426926e+00 1.241176147413533393e+01 3.083400000000000000e+04
1.239153515017866303e+00 1.188652816934744472e+01 3.189000000000000000e+04
1.263794672254038076e+00 1.140376670139787940e+01 3.376600000000000000e+04
1.288426493777925508e+00 1.115749798342257826e+01 3.446400000000000000e+04
1.313029045166066222e+00 1.055710204745770753e+01 3.622000000000000000e+04
1.337417753268757670e+00 1.041533009005325638e+01 3.667000000000000000e+04
1.361925448145902662e+00 9.959409395069840798e+00 3.911400000000000000e+04
1.386503814700803305e+00 9.592035775604729864e+00 3.989800000000000000e+04
1.410925965910736268e+00 9.306163589938694969e+00 4.126400000000000000e+04
1.435480380696713132e+00 9.099573149442990783e+00 4.332000000000000000e+04
1.460033395611762819e+00 8.779866983921122525e+00 4.418400000000000000e+04
1.484681614846454778e+00 8.472418549144878241e+00 4.654800000000000000e+04
1.509254924902153627e+00 8.209625962251525522e+00 4.719800000000000000e+04
1.533680946131934064e+00 7.874299461814354473e+00 4.880200000000000000e+04
1.558325242020618395e+00 7.747714702787119379e+00 5.141800000000000000e+04
1.582898818657196172e+00 7.456874015254851606e+00 5.158800000000000000e+04
1.607456402752097668e+00 7.255070197915516772e+00 5.464400000000000000e+04
1.631994660923775875e+00 7.122367910114393297e+00 5.484200000000000000e+04
1.656426602680801441e+00 6.782864859686927872e+00 5.733800000000000000e+04
1.681030763944247663e+00 6.697383625630197734e+00 5.921400000000000000e+04
1.705626778692082679e+00 6.536850683813606899e+00 6.064200000000000000e+04
1.730101932693856259e+00 6.268977665999846849e+00 6.220200000000000000e+04
1.754558260322716334e+00 6.120572282938990583e+00 6.399000000000000000e+04
1.779072581939174391e+00 5.977483969317169077e+00 6.596200000000000000e+04
1.803774998375834437e+00 5.846445338959582294e+00 6.893000000000000000e+04
1.828415224475618661e+00 5.639925779860818444e+00 6.921800000000000000e+04
1.852957785002211422e+00 5.546046828730753830e+00 7.208600000000000000e+04
1.877516303117015672e+00 5.383758517204284999e+00 7.321600000000000000e+04
1.902003194583360202e+00 5.232125850649339327e+00 7.536400000000000000e+04
1.926459206259836909e+00 5.131885572419697006e+00 7.714200000000000000e+04
1.950979244101561871e+00 4.956687923822500785e+00 7.932200000000000000e+04
1.975457770288180148e+00 4.929689264693362105e+00 8.112200000000000000e+04
1.999996309013334805e+00 4.769690754238599339e+00 8.374000000000000000e+04
2.024695913452227547e+00 4.644105102083019077e+00 8.622800000000000000e+04
2.049270495590969521e+00 4.554082028526790005e+00 8.724200000000000000e+04
2.073767679346899317e+00 4.415168752444285083e+00 8.950400000000000000e+04
2.098324428534850128e+00 4.302255752262398758e+00 9.236600000000000000e+04
2.122935889074646809e+00 4.191927011814070347e+00 9.390800000000000000e+04
2.147465173093049629e+00 4.155482583073964342e+00 9.622600000000000000e+04
2.171851386770913273e+00 4.057216177291498305e+00 9.717200000000000000e+04
2.196429360365885319e+00 3.952691571765521772e+00 1.019960000000000000e+05
2.221105043850578831e+00 3.856274060967017636e+00 1.028340000000000000e+05
2.245633118720809840e+00 3.773395668424865956e+00 1.049360000000000000e+05
2.270148613403661475e+00 3.700908457756114878e+00 1.076640000000000000e+05
2.294696009023289740e+00 3.609930094298833936e+00 1.097300000000000000e+05
2.319241441457444708e+00 3.512059567419090200e+00 1.122420000000000000e+05
2.343770146594723602e+00 3.472070833123875655e+00 1.145480000000000000e+05
2.368234709664871041e+00 3.407847887168033552e+00 1.162040000000000000e+05
2.392776617152194252e+00 3.319940644401673246e+00 1.202100000000000000e+05
2.417436309943946426e+00 3.251680973735859403e+00 1.222240000000000000e+05
2.441964092100820327e+00 3.185979202745770511e+00 1.240000000000000000e+05
2.466420201333919149e+00 3.119034204454966819e+00 1.264900000000000000e+05
2.491026169981223948e+00 3.050630397700390350e+00 1.302980000000000000e+05
2.515591102978649296e+00 2.974046496579453525e+00 1.315160000000000000e+05
2.540133082400877651e+00 2.943494367625972163e+00 1.350280000000000000e+05
2.564697215405975061e+00 2.875260668517979123e+00 1.370340000000000000e+05
2.589228454518015088e+00 2.807040328608606305e+00 1.399400000000000000e+05
2.613757183180440702e+00 2.760758498063091260e+00 1.420440000000000000e+05
2.638313502207512595e+00 2.717267012942963689e+00 1.460980000000000000e+05
2.662834301341306720e+00 2.661791241103848904e+00 1.466160000000000000e+05
2.687347884782291363e+00 2.600203922979839266e+00 1.516080000000000000e+05
2.711870266169386756e+00 2.535259993122402467e+00 1.521540000000000000e+05
2.736410240969383345e+00 2.503488666950985930e+00 1.573620000000000000e+05
2.760989340439442330e+00 2.450184885428856152e+00 1.585880000000000000e+05
2.785558473191997120e+00 2.413138078065786285e+00 1.622680000000000000e+05
2.810141778825738346e+00 2.350283176675350472e+00 1.650500000000000000e+05
2.834718102903821535e+00 2.319616245405396793e+00 1.677360000000000000e+05
2.859242120224363859e+00 2.259446379298548191e+00 1.702080000000000000e+05
2.883795674146918397e+00 2.243027215147438191e+00 1.739060000000000000e+05
2.908310367032441501e+00 2.181697930874835212e+00 1.755300000000000000e+05
2.932762648979863496e+00 2.151346858478007107e+00 1.792520000000000000e+05
2.957354671686772463e+00 2.119732146904471204e+00 1.830680000000000000e+05
2.981929099202057287e+00 2.068861164396901042e+00 1.854820000000000000e+05
3.006447522980065568e+00 2.029287778402308451e+00 1.880620000000000000e+05
3.031021325283102197e+00 1.990639141387025690e+00 1.926420000000000000e+05
3.055617158894413432e+00 1.954177040886467820e+00 1.947140000000000000e+05
3.080222423553735211e+00 1.928600244810480868e+00 1.988180000000000000e+05
3.104658431249708972e+00 1.885906841546720836e+00 1.985880000000000000e+05
3.129104157143472342e+00 1.872267348707053802e+00 2.049720000000000000e+05
3.153666107892540982e+00 1.817515851228569845e+00 2.070900000000000000e+05
3.178236510403852577e+00 1.793760117660633924e+00 2.116040000000000000e+05
3.202807723967755482e+00 1.755230790623570902e+00 2.135000000000000000e+05
3.227328988644422747e+00 1.726739702198749393e+00 2.174580000000000000e+05
3.251918303643163366e+00 1.687004832441473923e+00 2.211220000000000000e+05
3.276553677281378363e+00 1.659015438367748230e+00 2.251740000000000000e+05
3.301054613449531328e+00 1.629755105913415436e+00 2.254580000000000000e+05
3.325520506708000035e+00 1.616491492513659090e+00 2.307780000000000000e+05
3.350082606911083172e+00 1.581237661209340839e+00 2.346620000000000000e+05
3.374638471491168357e+00 1.556553837927088013e+00 2.370900000000000000e+05
3.399170621190092056e+00 1.534125168536379702e+00 2.414900000000000000e+05
3.423704409844894769e+00 1.495506269354130557e+00 2.436700000000000000e+05
3.448254086667305707e+00 1.479741090707141105e+00 2.489620000000000000e+05
3.472796448581847439e+00 1.453976684515211115e+00 2.509540000000000000e+05
3.497303225853108266e+00 1.419845423716287636e+00 2.546820000000000000e+05
3.521859985192977938e+00 1.401588471655563772e+00 2.597660000000000000e+05
3.546424286340617904e+00 1.381173194658495973e+00 2.614900000000000000e+05
3.570998981027290409e+00 1.350158018770903023e+00 2.677620000000000000e+05
3.595600871653301223e+00 1.329197938973673221e+00 2.692540000000000000e+05
3.620133714506168499e+00 1.311802613040099486e+00 2.734020000000000000e+05
3.644665090967286414e+00 1.288274941291099207e+00 2.769780000000000000e+05
3.669256741163455349e+00 1.262526912761777531e+00 2.819300000000000000e+05
3.693754493622263713e+00 1.243851466361889369e+00 2.827260000000000000e+05
3.718234765907703743e+00 1.221010080979624934e+00 2.886340000000000000e+05
3.742746452707597093e+00 1.199867230018787145e+00 2.911940000000000000e+05
3.767336798239477424e+00 1.179837631628414929e+00 2.983160000000000000e+05
3.791942667298908720e+00 1.160653320976436476e+00 2.991160000000000000e+05
3.816441815281845340e+00 1.139703471956951653e+00 3.037460000000000000e+05
3.840963437352050036e+00 1.120755421452545253e+00 3.071300000000000000e+05
3.865469441448510679e+00 1.107865916210371005e+00 3.114540000000000000e+05
3.890043745248791485e+00 1.086701925769096855e+00 3.167940000000000000e+05
3.914615689522903175e+00 1.066570669502824975e+00 3.191300000000000000e+05
3.939097121164933490e+00 1.046975530613139860e+00 3.227560000000000000e+05
3.963665290400354202e+00 1.030200813716057651e+00 3.289800000000000000e+05
3.988256645205220607e+00 1.018467126078241858e+00 3.321680000000000000e+05
4.012797453054211871e+00 9.980643692136949019e-01 3.354620000000000000e+05
4.037351537842088334e+00 9.832658440711128378e-01 3.405560000000000000e+05
4.061914585401027900e+00 9.671107790641395585e-01 3.444740000000000000e+05
4.086437815517499850e+00 9.566256992740514997e-01 3.471860000000000000e+05
4.110951046617015159e+00 9.387259214289761511e-01 3.532380000000000000e+05
4.135472734262805261e+00 9.261514918172879529e-01 3.551620000000000000e+05
4.160026531205497591e+00 9.069949569448260140e-01 3.627840000000000000e+05
4.184627233559072401e+00 8.882158907844099893e-01 3.655020000000000000e+05
4.209183402302661747e+00 8.790923271786262871e-01 3.694900000000000000e+05
4.233703910607026444e+00 8.615571945239591800e-01 3.736360000000000000e+05
4.258250420165045291e+00 8.511570325931105963e-01 3.781540000000000000e+05
4.282795097965550468e+00 8.374642697818325265e-01 3.831980000000000000e+05
