# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 1.662331280048076906e+03 2.600000000000000000e+01
1.503254434404273886e-02 1.976887152777777601e+03 7.200000000000000000e+01
2.104537904654678673e-02 1.916369860197368325e+03 1.520000000000000000e+02
2.718418752217394846e-02 1.708826255341880596e+03 2.340000000000000000e+02
3.359305548768203725e-02 1.459701021634615472e+03 4.160000000000000000e+02
3.967812110980351720e-02 1.240912630208333212e+03 4.800000000000000000e+02
4.573133090443888549e-02 1.081378376038781198e+03 7.220000000000000000e+02
5.186912300623527233e-02 9.689526601830663139e+02 8.740000000000000000e+02
5.807971256735403043e-02 9.057648450946644516e+02 1.162000000000000000e+03
6.422094742881356844e-02 8.335853276877761573e+02 1.358000000000000000e+03
7.029194303550849454e-02 7.841515778186274019e+02 1.632000000000000000e+03
7.656976085866129544e-02 7.065907416502946035e+02 2.036000000000000000e+03
8.283279975513359317e-02 6.305400432900432861e+02 2.310000000000000000e+03
8.886264192081894109e-02 5.519723595727848533e+02 2.528000000000000000e+03
9.493524398572131262e-02 4.869229954367665982e+02 3.068000000000000000e+03
1.010510809291368245e-01 4.388774576527525824e+02 3.306000000000000000e+03
1.071918355362574127e-01 4.000479156075241463e+02 3.934000000000000000e+03
1.133640700251744293e-01 3.753372011251758522e+02 4.266000000000000000e+03
1.195184611122857843e-01 3.565557728410512937e+02 4.794000000000000000e+03
1.256657517103361710e-01 3.445549098671726824e+02 5.270000000000000000e+03
1.317871926578333408e-01 3.269899635036496193e+02 5.754000000000000000e+03
1.378887696062481294e-01 3.027752797919293926e+02 6.344000000000000000e+03
1.440612672229828750e-01 2.821527837182777603e+02 7.014000000000000000e+03
1.501845201433902877e-01 2.559909526072786434e+02 7.364000000000000000e+03
1.563418093457785985e-01 2.345247262556534054e+02 8.402000000000000000e+03
1.625438955957596576e-01 2.162513160906385963e+02 8.738000000000000000e+03
1.686940235306336466e-01 2.050870863495346441e+02 9.670000000000000000e+03
1.747987378343396903e-01 1.933329326923076792e+02 9.880000000000000000e+03
1.809057159377772395e-01 1.842506513926325340e+02 1.113000000000000000e+04
1.870079494254630881e-01 1.786131688596491074e+02 1.140000000000000000e+04
1.931644028143169878e-01 1.734531716711209128e+02 1.272200000000000000e+04
1.993257601852206906e-01 1.629369969627942396e+02 1.317000000000000000e+04
2.054762598507901550e-01 1.533312949386719310e+02 1.418600000000000000e+04
2.116257382464896697e-01 1.450977069126888637e+02 1.495800000000000000e+04
2.177578654451892970e-01 1.364147892671813622e+02 1.580200000000000000e+04
2.238991135097555263e-01 1.263832258449779005e+02 1.674600000000000000e+04
2.300081978121491233e-01 1.223644062963385437e+02 1.753400000000000000e+04
2.361454707693454169e-01 1.165425762439807329e+02 1.869000000000000000e+04
2.422857100963227428e-01 1.111710788318186474e+02 1.958600000000000000e+04
2.484099584913142256e-01 1.087755189046969377e+02 2.052400000000000000e+04
2.545441957051269855e-01 1.048368049140956941e+02 2.165200000000000000e+04
2.606917133414053955e-01 1.002580953427065111e+02 2.276000000000000000e+04
2.668580198415695381e-01 9.592100912439309468e+01 2.389200000000000000e+04
2.730019564931540632e-01 9.195661664118451029e+01 2.485400000000000000e+04
2.791389873202678173e-01 8.837182219662058458e+01 2.604000000000000000e+04
2.852424996643880273e-01 8.493142814505297622e+01 2.680400000000000000e+04
2.913531997893986092e-01 8.060058771929824672e+01 2.850000000000000000e+04
2.975143171497069416e-01 7.727162258151805929e+01 2.956400000000000000e+04
3.036544665973567314e-01 7.477313193228255273e+01 3.083400000000000000e+04
3.097883787544665757e-01 7.257431796801505186e+01 3.189000000000000000e+04
3.159486680635095190e-01 7.006774566131612403e+01 3.376600000000000000e+04
3.221066234444813769e-01 6.818952385097493618e+01 3.446400000000000000e+04
3.282572612915165555e-01 6.556677250138045565e+01 3.622000000000000000e+04
3.343544383171894174e-01 6.326085355876738703e+01 3.667000000000000000e+04
3.404813620364756654e-01 6.095557856521961071e+01 3.911400000000000000e+04
3.466259536752008263e-01 5.919685197252994868e+01 3.989800000000000000e+04
3.527314914776840671e-01 5.676869668476152953e+01 4.126400000000000000e+04
3.588700951741782830e-01 5.513794436749768835e+01 4.332000000000000000e+04
3.650083489029407047e-01 5.335684297483251726e+01 4.418400000000000000e+04
3.711704037116136945e-01 5.264472157772621586e+01 4.654800000000000000e+04
3.773137312255384068e-01 5.067984872240349148e+01 4.719800000000000000e+04
3.834202365329835160e-01 4.854568460309003797e+01 4.880200000000000000e+04
3.895813105051545988e-01 4.746650005834532493e+01 5.141800000000000000e+04
3.957247046642990429e-01 4.654678413584554164e+01 5.158800000000000000e+04
4.018641006880244171e-01 4.506127845692115841e+01 5.464400000000000000e+04
4.079986652309439688e-01 4.402055450202399811e+01 5.484200000000000000e+04
